membership_period_id,member_id,period_year,period_start,period_end,membership_type,list_fee,discount_amount,net_membership_revenue,contribution_margin,renewed_next_period
MP000001,M00001,2023,2023-02-23,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000002,M00001,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000003,M00001,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000004,M00002,2024,2024-02-14,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000005,M00002,2025,2025-01-01,2025-12-31,Senior annual,390,75,315,113.4,Censored
MP000006,M00003,2024,2024-03-31,2024-12-31,Adult annual,540,50,490,215.6,No
MP000007,M00004,2025,2025-01-26,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000008,M00005,2024,2024-05-13,2024-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000009,M00005,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000010,M00006,2023,2023-08-27,2023-12-31,Adult annual,540,0,540,237.6,No
MP000011,M00007,2022,2022-02-09,2022-12-31,Family annual,840,0,840,327.6,No
MP000012,M00008,2022,2022-01-29,2022-12-31,Adult annual,540,50,490,215.6,No
MP000013,M00009,2024,2024-04-30,2024-12-31,Adult annual,540,75,465,204.6,Yes
MP000014,M00009,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000015,M00010,2024,2024-02-08,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000016,M00011,2022,2022-07-24,2022-12-31,Adult annual,540,25,515,226.6,Yes
MP000017,M00011,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000018,M00011,2024,2024-01-01,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000019,M00011,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000020,M00012,2024,2024-08-30,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000021,M00012,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000022,M00013,2023,2023-01-14,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000023,M00013,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000024,M00013,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000025,M00014,2024,2024-07-08,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000026,M00014,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000027,M00015,2023,2023-04-17,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000028,M00016,2022,2022-02-18,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000029,M00016,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000030,M00016,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000031,M00016,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000032,M00017,2024,2024-11-18,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000033,M00017,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000034,M00018,2024,2024-07-17,2024-12-31,Adult annual,540,0,540,237.6,No
MP000035,M00019,2023,2023-03-18,2023-12-31,Youth annual,300,0,300,93,Yes
MP000036,M00019,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000037,M00019,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000038,M00020,2023,2023-03-26,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000039,M00020,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000040,M00021,2023,2023-04-07,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000041,M00021,2024,2024-01-01,2024-12-31,Family annual,840,75,765,298.35,No
MP000042,M00022,2023,2023-06-29,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000043,M00022,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000044,M00022,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000045,M00023,2022,2022-09-06,2022-12-31,Senior annual,390,0,390,140.4,Yes
MP000046,M00023,2023,2023-01-01,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000047,M00023,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,No
MP000048,M00024,2025,2025-10-30,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000049,M00025,2025,2025-05-04,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000050,M00026,2025,2025-08-16,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000051,M00027,2025,2025-04-21,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000052,M00028,2024,2024-08-28,2024-12-31,Family annual,840,0,840,327.6,No
MP000053,M00029,2023,2023-09-26,2023-12-31,Youth annual,300,75,225,69.75,No
MP000054,M00030,2022,2022-08-10,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000055,M00030,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000056,M00030,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000057,M00030,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000058,M00031,2023,2023-03-26,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000059,M00031,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,No
MP000060,M00032,2022,2022-04-01,2022-12-31,Youth annual,300,0,300,93,Yes
MP000061,M00032,2023,2023-01-01,2023-12-31,Youth annual,300,50,250,77.5,Yes
MP000062,M00032,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000063,M00032,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000064,M00033,2025,2025-02-05,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000065,M00034,2023,2023-11-13,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000066,M00034,2024,2024-01-01,2024-12-31,Senior annual,390,50,340,122.4,Yes
MP000067,M00034,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000068,M00035,2023,2023-05-27,2023-12-31,Family annual,840,50,790,308.1,No
MP000069,M00036,2025,2025-02-05,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000070,M00037,2024,2024-02-06,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000071,M00037,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000072,M00038,2025,2025-01-24,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000073,M00039,2023,2023-04-24,2023-12-31,Senior annual,390,50,340,122.4,Yes
MP000074,M00039,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,No
MP000075,M00040,2025,2025-10-21,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000076,M00041,2024,2024-10-28,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000077,M00041,2025,2025-01-01,2025-12-31,Senior annual,390,25,365,131.4,Censored
MP000078,M00042,2024,2024-05-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000079,M00042,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000080,M00043,2024,2024-02-06,2024-12-31,Adult annual,540,25,515,226.6,No
MP000081,M00044,2024,2024-11-22,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000082,M00044,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000083,M00045,2023,2023-02-12,2023-12-31,Senior annual,390,75,315,113.4,No
MP000084,M00046,2025,2025-09-14,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000085,M00047,2023,2023-02-12,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000086,M00047,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,No
MP000087,M00048,2024,2024-01-24,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000088,M00048,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000089,M00049,2023,2023-10-31,2023-12-31,Family annual,840,0,840,327.6,No
MP000090,M00050,2024,2024-03-24,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000091,M00051,2023,2023-06-12,2023-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000092,M00051,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000093,M00051,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000094,M00052,2023,2023-01-28,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000095,M00052,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000096,M00052,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000097,M00053,2024,2024-10-14,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000098,M00053,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000099,M00054,2023,2023-02-06,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000100,M00055,2023,2023-10-20,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000101,M00055,2024,2024-01-01,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000102,M00055,2025,2025-01-01,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000103,M00056,2023,2023-05-08,2023-12-31,Adult annual,540,0,540,237.6,No
MP000104,M00057,2022,2022-09-22,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000105,M00057,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,No
MP000106,M00058,2023,2023-11-25,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000107,M00058,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000108,M00058,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
