member_id,join_year,home_facility_id,age_group,membership_type,acquisition_channel,visits_first_90_days,visits_first_membership_year,program_registrations_first_year,active_years_observed,contribution_margin_observed,retained_after_first_period
M00001,2023,F03,35-49,Adult annual,Referral,5,11,1,3,712.8,1
M00002,2024,F02,18-34,Senior annual,Email,5,16,0,2,253.8,1
M00003,2024,F02,50-64,Adult annual,Organic web,9,31,1,1,215.6,0
M00004,2025,F01,35-49,Family annual,Walk-in,16,41,4,1,327.6,Censored
M00005,2024,F02,50-64,Monthly flexible,Email,5,14,2,2,373.1,1
M00006,2023,F01,50-64,Adult annual,Referral,11,12,2,1,237.6,0
M00007,2022,F01,35-49,Family annual,Organic web,3,19,1,1,327.6,0
M00008,2022,F01,Under 18,Adult annual,Community event,18,50,1,1,215.6,0
M00009,2024,F01,50-64,Adult annual,Referral,10,23,3,2,442.2,1
M00010,2024,F03,35-49,Monthly flexible,Referral,3,5,4,1,196.8,0
M00011,2022,F02,35-49,Adult annual,Email,4,12,0,4,928.4,1
M00012,2024,F02,18-34,Adult annual,Community event,2,2,1,2,475.2,1
M00013,2023,F01,50-64,Senior annual,Organic web,4,17,0,3,421.2,1
M00014,2024,F02,18-34,Adult annual,Email,8,16,4,2,453.2,1
M00015,2023,F01,18-34,Monthly flexible,Paid social,7,17,0,1,196.8,0
M00016,2022,F02,50-64,Adult annual,Email,11,25,0,4,950.4,1
M00017,2024,F02,35-49,Adult annual,Organic web,3,3,1,2,464.2,1
M00018,2024,F03,50-64,Adult annual,Organic web,5,9,5,1,237.6,0
M00019,2023,F04,18-34,Youth annual,Organic web,9,18,0,3,279,1
M00020,2023,F01,35-49,Monthly flexible,Organic web,2,11,1,2,393.6,1
M00021,2023,F03,18-34,Family annual,Paid social,8,25,1,2,625.95,1
M00022,2023,F01,35-49,Monthly flexible,Paid social,3,4,1,3,590.4,1
M00023,2022,F04,50-64,Senior annual,Referral,5,6,4,3,421.2,1
M00024,2025,F01,18-34,Adult annual,Walk-in,3,3,1,1,226.6,Censored
M00025,2025,F04,18-34,Family annual,Organic web,11,34,2,1,327.6,Censored
M00026,2025,F02,65+,Monthly flexible,Organic web,5,7,2,1,186.55,Censored
M00027,2025,F04,35-49,Monthly flexible,Walk-in,6,10,1,1,186.55,Censored
M00028,2024,F01,35-49,Family annual,Referral,5,10,1,1,327.6,0
M00029,2023,F01,18-34,Youth annual,Community event,7,9,0,1,69.75,0
M00030,2022,F01,35-49,Family annual,Referral,7,13,2,4,1310.4,1
M00031,2023,F01,18-34,Family annual,Walk-in,5,13,1,2,655.2,1
M00032,2022,F01,50-64,Youth annual,Referral,7,30,0,4,356.5,1
M00033,2025,F02,35-49,Adult annual,Organic web,11,31,2,1,226.6,Censored
M00034,2023,F01,50-64,Senior annual,Paid social,4,4,1,3,403.2,1
M00035,2023,F01,50-64,Family annual,Organic web,2,12,2,1,308.1,0
M00036,2025,F04,50-64,Family annual,Referral,9,32,1,1,327.6,Censored
M00037,2024,F03,18-34,Family annual,Paid social,10,37,4,2,655.2,1
M00038,2025,F03,18-34,Adult annual,Paid social,4,17,1,1,237.6,Censored
M00039,2023,F04,Under 18,Senior annual,Organic web,11,26,3,2,262.8,1
M00040,2025,F01,35-49,Adult annual,Walk-in,5,5,3,1,215.6,Censored
M00041,2024,F03,50-64,Senior annual,Referral,7,7,0,2,271.8,1
M00042,2024,F04,35-49,Family annual,Email,7,31,3,2,655.2,1
M00043,2024,F01,65+,Adult annual,Organic web,11,27,0,1,226.6,0
M00044,2024,F01,50-64,Monthly flexible,Community event,4,4,5,2,393.6,1
M00045,2023,F04,50-64,Senior annual,Organic web,8,23,1,1,113.4,0
M00046,2025,F01,18-34,Family annual,Referral,19,19,6,1,327.6,Censored
M00047,2023,F01,50-64,Adult annual,Paid social,9,35,2,2,475.2,1
M00048,2024,F04,35-49,Family annual,Organic web,19,55,4,2,655.2,1
M00049,2023,F03,18-34,Family annual,Paid social,16,16,1,1,327.6,0
M00050,2024,F04,18-34,Monthly flexible,Organic web,1,9,2,1,196.8,0
M00051,2023,F04,35-49,Monthly flexible,Organic web,3,9,1,3,559.65,1
M00052,2023,F01,18-34,Adult annual,Walk-in,15,37,5,3,712.8,1
M00053,2024,F02,18-34,Family annual,Walk-in,8,8,6,2,655.2,1
M00054,2023,F01,35-49,Monthly flexible,Organic web,4,16,4,1,196.8,0
M00055,2023,F02,35-49,Family annual,Community event,7,7,0,3,953.55,1
M00056,2023,F01,18-34,Adult annual,Walk-in,3,10,2,1,237.6,0
M00057,2022,F02,50-64,Adult annual,Community event,15,16,2,2,475.2,1
M00058,2023,F04,50-64,Adult annual,Walk-in,1,1,1,3,712.8,1
M00059,2023,F01,50-64,Youth annual,Paid social,12,14,1,3,263.5,1
M00060,2022,F01,35-49,Youth annual,Walk-in,5,6,1,2,186,1
M00061,2023,F03,18-34,Senior annual,Referral,9,20,3,1,131.4,0
M00062,2025,F04,65+,Adult annual,Organic web,4,12,3,1,215.6,Censored
M00063,2024,F03,18-34,Monthly flexible,Paid social,2,2,0,1,176.3,0
M00064,2023,F03,65+,Senior annual,Paid social,9,19,4,3,403.2,1
M00065,2024,F04,Under 18,Family annual,Organic web,5,14,3,2,635.7,1
M00066,2024,F02,50-64,Monthly flexible,Organic web,10,15,3,2,373.1,1
M00067,2025,F04,35-49,Adult annual,Organic web,7,10,2,1,237.6,Censored
M00068,2022,F01,35-49,Monthly flexible,Organic web,5,22,0,1,196.8,0
M00069,2025,F02,50-64,Senior annual,Referral,8,31,6,1,113.4,Censored
M00070,2024,F04,50-64,Senior annual,Organic web,5,10,1,1,140.4,0
M00071,2024,F01,35-49,Senior annual,Organic web,10,40,1,2,262.8,1
M00072,2024,F03,50-64,Family annual,Email,3,10,3,2,655.2,1
M00073,2024,F03,18-34,Family annual,Community event,13,30,2,2,625.95,1
M00074,2024,F04,35-49,Adult annual,Community event,1,1,0,2,442.2,1
M00075,2025,F02,50-64,Youth annual,Organic web,10,14,2,1,93,Censored
M00076,2025,F01,50-64,Monthly flexible,Walk-in,2,5,2,1,176.3,Censored
M00077,2024,F01,Under 18,Adult annual,Community event,10,10,1,2,475.2,1
M00078,2025,F01,18-34,Adult annual,Organic web,2,11,3,1,204.6,Censored
M00079,2023,F02,Under 18,Family annual,Community event,17,36,0,3,982.8,1
M00080,2025,F04,35-49,Adult annual,Community event,7,8,1,1,237.6,Censored
M00081,2024,F02,18-34,Monthly flexible,Organic web,7,19,2,2,393.6,1
M00082,2022,F01,35-49,Youth annual,Organic web,4,10,0,3,279,1
M00083,2022,F02,50-64,Adult annual,Email,12,35,3,2,453.2,1
M00084,2024,F04,18-34,Adult annual,Walk-in,12,28,4,2,453.2,1
M00085,2025,F02,35-49,Family annual,Organic web,12,26,5,1,327.6,Censored
M00086,2022,F01,18-34,Monthly flexible,Paid social,1,4,2,2,362.85,1
M00087,2022,F02,18-34,Monthly flexible,Email,3,5,0,2,383.35,1
M00088,2023,F01,65+,Family annual,Email,9,18,2,1,317.85,0
M00089,2022,F01,35-49,Senior annual,Paid social,3,3,1,4,516.6,1
M00090,2023,F02,50-64,Adult annual,Walk-in,6,15,1,3,712.8,1
M00091,2024,F01,35-49,Family annual,Community event,7,10,3,2,655.2,1
M00092,2024,F04,35-49,Adult annual,Paid social,5,5,4,2,464.2,1
M00093,2024,F04,Under 18,Family annual,Walk-in,7,32,1,2,645.45,1
M00094,2022,F01,50-64,Monthly flexible,Paid social,1,4,2,2,383.35,1
M00095,2023,F02,18-34,Adult annual,Email,4,8,8,3,701.8,1
M00096,2023,F01,35-49,Adult annual,Walk-in,9,38,1,3,690.8,1
M00097,2024,F02,Under 18,Adult annual,Walk-in,12,36,2,2,431.2,1
M00098,2024,F01,50-64,Senior annual,Organic web,6,8,2,2,280.8,1
M00099,2022,F02,50-64,Family annual,Referral,17,48,3,4,1290.9,1
M00100,2024,F03,35-49,Monthly flexible,Referral,3,8,1,1,196.8,0
M00101,2023,F01,18-34,Family annual,Walk-in,10,13,4,3,963.3,1
M00102,2024,F02,65+,Family annual,Walk-in,9,19,1,1,327.6,0
M00103,2024,F01,35-49,Monthly flexible,Organic web,2,4,3,1,196.8,0
M00104,2023,F01,35-49,Adult annual,Referral,15,37,3,3,690.8,1
M00105,2022,F04,35-49,Adult annual,Walk-in,3,14,2,3,690.8,1
M00106,2023,F04,35-49,Youth annual,Community event,7,10,2,3,271.25,1
M00107,2022,F03,Under 18,Senior annual,Community event,3,6,1,4,552.6,1
M00108,2022,F02,35-49,Adult annual,Referral,4,7,3,3,690.8,1
M00109,2022,F01,18-34,Adult annual,Referral,7,23,3,4,928.4,1
M00110,2022,F04,50-64,Youth annual,Walk-in,12,32,3,4,372,1
M00111,2024,F02,35-49,Adult annual,Paid social,12,38,4,2,475.2,1
M00112,2024,F04,18-34,Youth annual,Referral,4,11,5,2,186,1
M00113,2022,F03,18-34,Family annual,Paid social,8,8,4,4,1310.4,1
M00114,2023,F04,65+,Senior annual,Referral,5,26,1,3,421.2,1
M00115,2025,F02,35-49,Adult annual,Paid social,8,12,2,1,226.6,Censored
M00116,2024,F01,35-49,Family annual,Referral,15,29,4,2,625.95,1
M00117,2023,F04,50-64,Adult annual,Community event,12,29,0,2,475.2,1
M00118,2023,F01,50-64,Adult annual,Organic web,15,41,1,1,237.6,0
M00119,2024,F03,Under 18,Senior annual,Paid social,3,7,1,2,271.8,1
M00120,2023,F01,50-64,Adult annual,Paid social,15,52,2,3,690.8,1
M00121,2025,F01,50-64,Youth annual,Paid social,6,6,1,1,93,Censored
M00122,2025,F02,65+,Senior annual,Walk-in,6,13,1,1,140.4,Censored
M00123,2022,F04,35-49,Monthly flexible,Referral,7,7,5,4,776.95,1
M00124,2024,F01,Under 18,Senior annual,Organic web,4,4,1,2,271.8,1
M00125,2022,F04,50-64,Family annual,Walk-in,10,17,2,3,982.8,1
M00126,2025,F01,18-34,Senior annual,Organic web,11,24,5,1,140.4,Censored
M00127,2023,F02,35-49,Senior annual,Referral,5,15,2,3,403.2,1
M00128,2022,F01,50-64,Adult annual,Referral,10,10,3,4,928.4,1
M00129,2023,F01,50-64,Youth annual,Referral,10,15,2,3,255.75,1
M00130,2023,F01,18-34,Monthly flexible,Organic web,6,12,4,3,549.4,1
M00131,2022,F02,35-49,Adult annual,Paid social,6,8,2,4,939.4,1
M00132,2022,F02,50-64,Family annual,Community event,14,27,4,4,1290.9,1
M00133,2023,F04,35-49,Senior annual,Walk-in,3,16,1,3,412.2,1
M00134,2024,F02,35-49,Monthly flexible,Walk-in,3,4,2,2,383.35,1
M00135,2023,F01,Under 18,Family annual,Paid social,10,10,1,1,327.6,0
M00136,2024,F01,35-49,Monthly flexible,Referral,3,16,5,1,196.8,0
M00137,2023,F02,50-64,Adult annual,Walk-in,11,29,1,2,420.2,1
M00138,2022,F01,65+,Youth annual,Walk-in,8,9,2,1,93,0
M00139,2023,F04,Under 18,Monthly flexible,Email,0,0,0,1,196.8,0
M00140,2024,F02,35-49,Family annual,Paid social,14,47,1,2,635.7,1
M00141,2023,F04,Under 18,Family annual,Community event,8,10,5,3,943.8,1
M00142,2022,F01,50-64,Monthly flexible,Email,5,14,0,2,383.35,1
M00143,2022,F02,18-34,Family annual,Walk-in,9,9,2,1,327.6,0
M00144,2024,F01,35-49,Adult annual,Paid social,7,7,1,1,237.6,0
M00145,2022,F02,Under 18,Family annual,Email,20,28,2,1,327.6,0
M00146,2024,F01,18-34,Senior annual,Referral,8,14,3,2,280.8,1
M00147,2024,F01,35-49,Family annual,Referral,4,20,2,2,635.7,1
M00148,2022,F04,35-49,Family annual,Walk-in,5,8,0,4,1261.65,1
M00149,2024,F04,18-34,Adult annual,Email,6,15,2,2,420.2,1
M00150,2023,F01,35-49,Adult annual,Organic web,3,11,1,3,712.8,1
M00151,2024,F01,65+,Youth annual,Organic web,9,10,3,1,93,0
M00152,2024,F02,65+,Youth annual,Email,15,60,2,2,186,1
M00153,2025,F01,50-64,Monthly flexible,Organic web,5,11,1,1,196.8,Censored
M00154,2022,F04,18-34,Adult annual,Referral,4,5,1,1,237.6,0
M00155,2024,F02,35-49,Senior annual,Paid social,6,30,2,2,280.8,1
M00156,2022,F03,18-34,Monthly flexible,Email,5,5,4,4,735.95,1
M00157,2024,F01,18-34,Senior annual,Referral,8,21,1,2,262.8,1
M00158,2022,F03,50-64,Family annual,Organic web,2,7,0,1,327.6,0
M00159,2025,F01,35-49,Youth annual,Referral,15,17,0,1,93,Censored
M00160,2024,F04,65+,Monthly flexible,Organic web,4,10,1,2,393.6,1
M00161,2024,F01,18-34,Monthly flexible,Walk-in,0,8,4,2,393.6,1
M00162,2022,F01,35-49,Adult annual,Walk-in,12,41,2,4,895.4,1
M00163,2023,F03,35-49,Adult annual,Walk-in,4,4,1,3,690.8,1
M00164,2022,F03,35-49,Family annual,Organic web,7,19,0,1,327.6,0
M00165,2024,F04,35-49,Adult annual,Email,4,4,2,2,453.2,1
M00166,2022,F03,35-49,Monthly flexible,Referral,2,8,4,1,196.8,0
M00167,2024,F04,18-34,Family annual,Organic web,5,8,3,2,645.45,1
M00168,2023,F01,50-64,Adult annual,Paid social,8,14,6,2,475.2,1
M00169,2023,F03,50-64,Monthly flexible,Community event,10,16,2,3,549.4,1
M00170,2025,F02,50-64,Adult annual,Referral,3,3,6,1,215.6,Censored
M00171,2023,F04,35-49,Youth annual,Paid social,4,10,1,2,186,1
M00172,2023,F01,50-64,Family annual,Organic web,4,4,1,1,327.6,0
M00173,2023,F01,50-64,Adult annual,Walk-in,2,9,1,1,215.6,0
M00174,2024,F01,18-34,Monthly flexible,Walk-in,7,7,2,2,362.85,1
M00175,2023,F03,65+,Adult annual,Walk-in,2,5,0,3,679.8,1
M00176,2024,F01,Under 18,Family annual,Walk-in,11,37,3,2,655.2,1
M00177,2023,F04,18-34,Family annual,Referral,12,18,0,1,327.6,0
M00178,2025,F02,35-49,Adult annual,Organic web,9,42,2,1,237.6,Censored
M00179,2023,F03,65+,Youth annual,Email,11,13,1,3,271.25,1
M00180,2024,F02,35-49,Monthly flexible,Walk-in,12,24,0,1,166.05,0
M00181,2023,F01,50-64,Family annual,Community event,12,12,1,3,982.8,1
M00182,2024,F02,35-49,Adult annual,Community event,15,25,4,1,237.6,0
M00183,2024,F01,65+,Family annual,Paid social,13,27,1,2,655.2,1
M00184,2024,F04,35-49,Adult annual,Walk-in,2,2,0,2,453.2,1
M00185,2022,F01,18-34,Youth annual,Walk-in,6,6,1,1,93,0
M00186,2025,F01,18-34,Adult annual,Referral,9,33,1,1,226.6,Censored
M00187,2025,F01,Under 18,Senior annual,Community event,5,17,5,1,140.4,Censored
M00188,2022,F03,65+,Senior annual,Paid social,8,14,0,1,140.4,0
M00189,2022,F03,65+,Family annual,Walk-in,5,11,1,3,982.8,1
M00190,2022,F02,50-64,Senior annual,Community event,6,6,1,2,262.8,1
M00191,2024,F04,65+,Family annual,Walk-in,4,18,1,2,645.45,1
M00192,2023,F04,18-34,Senior annual,Referral,6,19,1,3,376.2,1
M00193,2024,F01,18-34,Senior annual,Email,12,17,1,1,140.4,0
M00194,2022,F01,50-64,Adult annual,Walk-in,4,14,5,4,895.4,1
M00195,2023,F04,65+,Family annual,Organic web,13,19,1,3,982.8,1
