response_id,campaign_id,member_id,contacted,clicked_or_engaged,converted_membership,attributed_revenue
CR0000001,C001,M00405,Yes,No,No,0
CR0000002,C001,M00208,Yes,No,No,0
CR0000003,C001,M00959,Yes,No,No,0
CR0000004,C001,M00070,Yes,No,No,0
CR0000005,C001,M00357,Yes,No,No,0
CR0000006,C001,M01183,Yes,No,No,0
CR0000007,C001,M00343,Yes,Yes,No,0
CR0000008,C001,M00502,Yes,No,No,0
CR0000009,C001,M00103,Yes,No,No,0
CR0000010,C001,M00725,Yes,No,No,0
CR0000011,C001,M01047,Yes,No,No,0
CR0000012,C001,M01055,Yes,Yes,No,0
CR0000013,C001,M00508,Yes,Yes,No,0
CR0000014,C001,M00846,Yes,No,No,0
CR0000015,C001,M01159,Yes,No,No,0
CR0000016,C001,M00130,Yes,Yes,No,0
CR0000017,C001,M01064,Yes,No,No,0
CR0000018,C001,M00220,Yes,No,No,0
CR0000019,C001,M00380,Yes,Yes,No,0
CR0000020,C001,M01391,Yes,No,No,0
CR0000021,C001,M01322,Yes,No,No,0
CR0000022,C001,M00095,Yes,No,No,0
CR0000023,C001,M00931,Yes,No,No,0
CR0000024,C001,M00003,Yes,No,Yes,540
CR0000025,C001,M01383,Yes,No,No,0
CR0000026,C001,M00093,Yes,Yes,No,0
CR0000027,C001,M00837,Yes,No,No,0
CR0000028,C001,M01145,Yes,No,No,0
CR0000029,C001,M00276,Yes,No,No,0
CR0000030,C001,M00098,Yes,No,No,0
CR0000031,C001,M00428,Yes,No,No,0
CR0000032,C001,M00083,Yes,No,No,0
CR0000033,C001,M00064,Yes,Yes,No,0
CR0000034,C001,M00154,Yes,No,No,0
CR0000035,C001,M01124,Yes,No,No,0
CR0000036,C001,M00051,Yes,No,Yes,480
CR0000037,C001,M00362,Yes,No,No,0
CR0000038,C001,M01200,Yes,No,No,0
CR0000039,C001,M00035,Yes,No,No,0
CR0000040,C001,M01092,Yes,No,No,0
CR0000041,C001,M00239,Yes,No,No,0
CR0000042,C001,M00728,Yes,No,No,0
CR0000043,C001,M00878,Yes,No,No,0
CR0000044,C001,M00959,Yes,No,No,0
CR0000045,C001,M00184,Yes,No,No,0
CR0000046,C001,M00609,Yes,No,No,0
CR0000047,C001,M01053,Yes,No,No,0
CR0000048,C001,M00851,Yes,No,No,0
CR0000049,C001,M00459,Yes,Yes,No,0
CR0000050,C001,M00774,Yes,No,No,0
CR0000051,C001,M00887,Yes,No,No,0
CR0000052,C001,M01025,Yes,No,No,0
CR0000053,C001,M01230,Yes,Yes,No,0
CR0000054,C001,M00809,Yes,No,Yes,540
CR0000055,C001,M01299,Yes,No,No,0
CR0000056,C001,M00968,Yes,No,No,0
CR0000057,C001,M00341,Yes,No,No,0
CR0000058,C001,M01009,Yes,Yes,No,0
CR0000059,C001,M00403,Yes,Yes,No,0
CR0000060,C001,M00361,Yes,Yes,No,0
CR0000061,C001,M00066,Yes,No,No,0
CR0000062,C001,M00278,Yes,Yes,No,0
CR0000063,C001,M00998,Yes,No,No,0
CR0000064,C001,M00057,Yes,No,No,0
CR0000065,C001,M01007,Yes,No,No,0
CR0000066,C001,M00079,Yes,No,No,0
CR0000067,C001,M00155,Yes,No,No,0
CR0000068,C001,M00933,Yes,No,No,0
CR0000069,C001,M01286,Yes,No,No,0
CR0000070,C001,M00943,Yes,No,No,0
CR0000071,C001,M00031,Yes,No,No,0
CR0000072,C001,M00575,Yes,No,No,0
CR0000073,C001,M00985,Yes,No,Yes,480
CR0000074,C001,M00291,Yes,No,No,0
CR0000075,C001,M00916,Yes,Yes,No,0
CR0000076,C001,M01194,Yes,No,No,0
CR0000077,C001,M01400,Yes,No,No,0
CR0000078,C001,M00485,Yes,No,No,0
CR0000079,C001,M01394,Yes,Yes,No,0
CR0000080,C001,M00784,Yes,No,No,0
CR0000081,C001,M01029,Yes,No,No,0
CR0000082,C001,M00558,Yes,No,No,0
CR0000083,C001,M01334,Yes,No,No,0
CR0000084,C001,M01125,Yes,No,No,0
CR0000085,C001,M01385,Yes,No,No,0
CR0000086,C001,M01169,Yes,No,No,0
CR0000087,C001,M00684,Yes,No,No,0
CR0000088,C001,M00195,Yes,No,No,0
CR0000089,C001,M00266,Yes,Yes,No,0
CR0000090,C001,M01244,Yes,Yes,No,0
CR0000091,C001,M00293,Yes,Yes,No,0
CR0000092,C001,M01377,Yes,No,No,0
CR0000093,C001,M00133,Yes,No,No,0
CR0000094,C001,M00553,Yes,No,No,0
CR0000095,C001,M00453,Yes,No,No,0
CR0000096,C001,M00631,Yes,Yes,No,0
CR0000097,C001,M01256,Yes,No,No,0
CR0000098,C001,M00700,Yes,No,No,0
CR0000099,C001,M00707,Yes,Yes,No,0
CR0000100,C001,M00040,Yes,No,No,0
CR0000101,C001,M00925,Yes,No,No,0
CR0000102,C001,M00470,Yes,No,No,0
CR0000103,C001,M00649,Yes,Yes,No,0
CR0000104,C001,M00623,Yes,Yes,No,0
CR0000105,C001,M00182,Yes,No,No,0
CR0000106,C001,M00217,Yes,Yes,No,0
CR0000107,C001,M01321,Yes,No,No,0
CR0000108,C001,M00643,Yes,No,No,0
CR0000109,C001,M00568,Yes,Yes,No,0
CR0000110,C001,M01293,Yes,Yes,No,0
