registration_id,program_id,member_id,registration_date,registration_status,amount_paid
R0000001,P20230101,M01228,2023-08-19,Completed,65
R0000002,P20230101,M01224,2023-08-21,Completed,75
R0000003,P20230101,M00501,2023-08-15,Completed,75
R0000004,P20230101,M01112,2023-08-22,No-show,65
R0000005,P20230101,M01345,2023-08-11,Completed,60
R0000006,P20230101,M00122,2023-08-09,Completed,75
R0000007,P20230101,M00427,2023-08-07,Completed,75
R0000008,P20230101,M01146,2023-08-02,Completed,75
R0000009,P20230101,M00417,2023-08-08,Completed,75
R0000010,P20230101,M01371,2023-08-13,Completed,75
R0000011,P20230101,M00239,2023-08-02,Completed,75
R0000012,P20230101,M01095,2023-08-04,Completed,75
R0000013,P20230101,M00613,2023-08-15,No-show,75
R0000014,P20230101,M01172,2023-08-13,Completed,75
R0000015,P20230101,M00577,2023-08-18,Completed,65
R0000016,P20230101,M01269,2023-08-07,Completed,75
R0000017,P20230101,M00015,2023-08-12,Cancelled,75
R0000018,P20230101,M00095,2023-08-16,Completed,75
R0000019,P20230101,M01015,2023-08-16,Cancelled,65
R0000020,P20230101,M00688,2023-08-25,Completed,65
R0000021,P20230101,M00472,2023-08-13,Completed,60
R0000022,P20230101,M01381,2023-08-16,Completed,60
R0000023,P20230101,M00279,2023-08-07,Completed,75
R0000024,P20230102,M00355,2023-01-12,Completed,45
R0000025,P20230102,M00764,2023-01-15,Completed,45
R0000026,P20230102,M01260,2023-01-08,Completed,45
R0000027,P20230102,M00929,2023-01-04,Completed,45
R0000028,P20230102,M00560,2023-01-18,Completed,30
R0000029,P20230102,M00565,2023-01-02,Completed,35
R0000030,P20230102,M00596,2023-01-17,Completed,30
R0000031,P20230102,M01372,2023-01-23,Completed,45
R0000032,P20230102,M00107,2023-01-04,Completed,35
R0000033,P20230102,M00979,2023-01-01,Completed,35
R0000034,P20230102,M00329,2023-01-11,Completed,45
R0000035,P20230102,M00386,2023-01-01,Completed,45
R0000036,P20230102,M00415,2023-01-07,Completed,45
R0000037,P20230102,M01158,2023-01-09,Completed,45
R0000038,P20230102,M00913,2023-01-09,Completed,35
R0000039,P20230102,M00075,2023-01-23,Completed,35
R0000040,P20230102,M01395,2023-01-11,Completed,30
R0000041,P20230102,M01217,2023-01-24,Completed,35
R0000042,P20230102,M00383,2023-01-11,Completed,45
R0000043,P20230102,M00496,2023-01-01,Completed,30
R0000044,P20230102,M01056,2023-01-23,Completed,45
R0000045,P20230102,M00630,2023-01-24,No-show,35
R0000046,P20230102,M00197,2023-01-18,Completed,45
R0000047,P20230102,M01231,2023-01-05,Completed,45
R0000048,P20230102,M00988,2023-01-15,Completed,45
R0000049,P20230102,M00618,2023-01-05,Completed,45
R0000050,P20230102,M00366,2023-01-10,Completed,45
R0000051,P20230102,M00008,2023-01-07,Completed,45
R0000052,P20230102,M00275,2023-01-13,Completed,30
R0000053,P20230102,M00946,2023-01-16,Completed,35
R0000054,P20230103,M00059,2023-03-18,Completed,60
R0000055,P20230103,M00474,2023-03-22,Completed,65
R0000056,P20230103,M00622,2023-03-21,Completed,75
R0000057,P20230103,M01321,2023-03-04,Cancelled,75
R0000058,P20230103,M00547,2023-03-15,Completed,75
R0000059,P20230103,M00820,2023-03-18,Completed,65
R0000060,P20230103,M00190,2023-03-09,Completed,60
R0000061,P20230103,M00012,2023-03-21,No-show,75
R0000062,P20230103,M00640,2023-03-22,Completed,75
R0000063,P20230103,M00890,2023-03-08,Completed,65
R0000064,P20230103,M00804,2023-03-20,Completed,60
R0000065,P20230103,M01016,2023-03-19,Completed,75
R0000066,P20230103,M00601,2023-03-18,Completed,75
R0000067,P20230103,M00245,2023-03-20,No-show,75
R0000068,P20230103,M00704,2023-03-04,Completed,75
R0000069,P20230103,M00029,2023-03-21,Completed,75
R0000070,P20230103,M01181,2023-03-22,Completed,65
R0000071,P20230103,M00567,2023-03-17,Completed,75
R0000072,P20230103,M00348,2023-03-08,Completed,75
R0000073,P20230103,M00561,2023-03-10,Completed,60
R0000074,P20230103,M01151,2023-03-09,Completed,75
R0000075,P20230103,M00904,2023-03-08,Completed,65
R0000076,P20230103,M00329,2023-03-25,Completed,75
R0000077,P20230103,M01390,2023-03-18,Completed,65
R0000078,P20230103,M00919,2023-03-16,No-show,75
R0000079,P20230103,M00768,2023-03-22,Completed,75
R0000080,P20230103,M00812,2023-03-21,Completed,65
R0000081,P20230103,M00095,2023-03-14,Completed,75
R0000082,P20230103,M00019,2023-03-12,Completed,75
R0000083,P20230103,M00965,2023-03-02,Completed,75
R0000084,P20230103,M01368,2023-03-01,Completed,75
R0000085,P20230104,M00203,2023-06-12,Completed,75
R0000086,P20230104,M01110,2023-06-24,Completed,65
R0000087,P20230104,M00821,2023-06-19,Completed,60
R0000088,P20230104,M01075,2023-06-24,Completed,75
R0000089,P20230104,M01346,2023-06-24,Completed,75
R0000090,P20230104,M00253,2023-06-07,No-show,65
R0000091,P20230104,M00019,2023-06-09,Completed,60
R0000092,P20230104,M00649,2023-06-24,Completed,75
R0000093,P20230104,M00554,2023-06-10,Completed,75
R0000094,P20230104,M00220,2023-06-25,Cancelled,75
R0000095,P20230104,M00407,2023-06-23,No-show,75
R0000096,P20230104,M00323,2023-06-13,Completed,75
R0000097,P20230104,M01085,2023-06-15,Completed,75
R0000098,P20230104,M01239,2023-06-14,Completed,75
R0000099,P20230104,M00780,2023-06-24,Completed,75
R0000100,P20230104,M01315,2023-06-15,Completed,60
R0000101,P20230104,M01117,2023-06-16,Completed,75
R0000102,P20230104,M01206,2023-06-24,Completed,60
R0000103,P20230104,M00391,2023-06-08,Completed,65
R0000104,P20230104,M00575,2023-06-01,Completed,75
R0000105,P20230104,M00560,2023-06-20,Completed,75
R0000106,P20230104,M00756,2023-06-01,Completed,65
R0000107,P20230104,M00027,2023-06-12,Completed,75
R0000108,P20230105,M00237,2023-01-17,Completed,90
R0000109,P20230105,M01042,2023-01-12,Completed,90
R0000110,P20230105,M00504,2023-01-05,No-show,90
R0000111,P20230105,M00272,2023-01-10,Completed,90
