visit_id,member_id,visit_date,facility_id,service_category,check_in_hour,duration_minutes,source_system
V00000001,M00001,2023-02-04,F03,Group class,16,31,Access control
V00000002,M00001,2023-02-26,F03,Fitness,16,45,Access control
V00000003,M00001,2023-03-15,F03,Fitness,18,50,Access control
V00000004,M00001,2023-04-05,F01,Fitness,8,72,Access control
V00000005,M00001,2023-04-15,F03,Aquatics,7,85,Access control
V00000006,M00001,2023-06-01,F03,Gymnasium,7,106,Access control
V00000007,M00001,2023-10-26,F03,Gymnasium,9,123,Access control
V00000008,M00001,2023-10-24,F03,Aquatics,17,60,Access control
V00000009,M00001,2023-11-13,F03,Aquatics,11,51,Access control
V00000010,M00001,2023-11-27,F03,Gymnasium,11,107,Access control
V00000011,M00001,2023-11-16,F02,Open recreation,15,126,Access control
V00000012,M00001,2024-01-21,F03,Aquatics,16,98,Access control
V00000013,M00001,2024-01-08,F03,Aquatics,11,40,Access control
V00000014,M00001,2024-01-03,F03,Aquatics,15,98,Access control
V00000015,M00001,2024-02-21,F03,Aquatics,17,39,Access control
V00000016,M00001,2024-03-20,F03,Group class,17,82,Front desk entry
V00000017,M00001,2024-03-20,F03,Fitness,9,121,Access control
V00000018,M00001,2024-04-08,F03,Open recreation,18,,Access control
V00000019,M00001,2024-05-02,F03,Open recreation,12,56,Access control
V00000020,M00001,2024-06-20,F03,Fitness,18,83,Access control
V00000021,M00001,2024-07-09,F03,Group class,18,129,Access control
V00000022,M00001,2024-08-22,F03,Gymnasium,9,102,Access control
V00000023,M00001,2024-09-23,F03,Aquatics,20,124,Access control
V00000024,M00001,2024-09-22,F03,Gymnasium,18,128,Access control
V00000025,M00001,2024-10-15,F03,Fitness,17,70,Access control
V00000026,M00001,2024-12-12,F02,Aquatics,19,109,Access control
V00000027,M00001,2025-01-01,F03,Group class,18,119,Access control
V00000028,M00001,2025-01-08,F03,Aquatics,17,49,Front desk entry
V00000029,M00001,2025-02-06,F03,Fitness,12,,Access control
V00000030,M00001,2025-02-27,F03,Gymnasium,16,124,Access control
V00000031,M00001,2025-05-06,F03,Fitness,12,48,Access control
V00000032,M00001,2025-05-02,F03,Group class,20,32,Access control
V00000033,M00001,2025-06-11,F03,Fitness,8,116,Access control
V00000034,M00001,2025-06-10,F03,Gymnasium,15,86,Access control
V00000035,M00001,2025-06-19,F03,Fitness,9,106,Access control
V00000036,M00001,2025-08-06,F03,Fitness,17,64,Access control
V00000037,M00001,2025-10-05,F03,Aquatics,19,91,Access control
V00000038,M00001,2025-10-18,F03,Fitness,19,97,Front desk entry
V00000039,M00001,2025-10-16,F03,Aquatics,9,113,Access control
V00000040,M00001,2025-11-10,F03,Gymnasium,17,102,Access control
V00000041,M00001,2025-11-18,F03,Open recreation,9,83,Access control
V00000042,M00002,2024-02-05,F04,Gymnasium,16,116,Access control
V00000043,M00002,2024-02-19,F02,Group class,19,60,Access control
V00000044,M00002,2024-03-18,F02,Fitness,16,91,Front desk entry
V00000045,M00002,2024-03-12,F01,Open recreation,11,106,Access control
V00000046,M00002,2024-03-16,F02,Open recreation,16,90,Access control
V00000047,M00002,2024-06-21,F02,Gymnasium,11,87,Access control
V00000048,M00002,2024-07-18,F02,Fitness,12,63,Access control
V00000049,M00002,2024-07-11,F02,Open recreation,10,57,Access control
V00000050,M00002,2024-07-14,F02,Group class,16,88,Access control
V00000051,M00002,2024-07-05,F02,Aquatics,17,82,Access control
V00000052,M00002,2024-07-14,F02,Fitness,12,66,Access control
V00000053,M00002,2024-08-10,F02,Fitness,11,100,Access control
V00000054,M00002,2024-09-06,F02,Aquatics,12,126,Access control
V00000055,M00002,2024-11-16,F02,Gymnasium,20,57,Access control
V00000056,M00002,2024-11-24,F02,Aquatics,16,34,Access control
V00000057,M00002,2024-12-18,F02,Aquatics,17,70,Access control
V00000058,M00002,2025-01-16,F02,Group class,18,73,Access control
V00000059,M00002,2025-02-24,F02,Open recreation,9,48,Front desk entry
V00000060,M00002,2025-02-16,F04,Fitness,18,118,Access control
V00000061,M00002,2025-03-24,F02,Gymnasium,16,44,Access control
V00000062,M00002,2025-03-24,F02,Open recreation,18,58,Access control
V00000063,M00002,2025-04-13,F03,Aquatics,11,99,Access control
V00000064,M00002,2025-04-18,F02,Open recreation,8,68,Access control
V00000065,M00002,2025-05-11,F02,Aquatics,7,33,Access control
V00000066,M00002,2025-06-03,F02,Fitness,20,91,Access control
V00000067,M00002,2025-09-01,F02,Fitness,12,58,Front desk entry
V00000068,M00002,2025-10-06,F02,Aquatics,17,108,Access control
V00000069,M00002,2025-10-22,F02,Gymnasium,8,34,Access control
V00000070,M00002,2025-10-13,F02,Gymnasium,10,65,Access control
V00000071,M00002,2025-10-09,F04,Aquatics,7,122,Access control
V00000072,M00002,2025-11-04,F02,Open recreation,11,50,Access control
V00000073,M00002,2025-12-19,F02,Open recreation,18,120,Access control
V00000074,M00002,2025-12-18,F02,Fitness,17,46,Access control
V00000075,M00003,2024-03-19,F02,Fitness,8,80,Access control
V00000076,M00003,2024-03-11,F02,Gymnasium,18,48,Access control
V00000077,M00003,2024-04-11,F02,Aquatics,11,50,Access control
V00000078,M00003,2024-04-27,F02,Open recreation,12,85,Access control
V00000079,M00003,2024-04-11,F02,Open recreation,19,129,Access control
V00000080,M00003,2024-04-06,F02,Fitness,16,81,Access control
V00000081,M00003,2024-04-22,F02,Fitness,17,49,Access control
V00000082,M00003,2024-05-24,F02,Open recreation,6,69,Access control
V00000083,M00003,2024-05-07,F02,Open recreation,10,72,Access control
V00000084,M00003,2024-07-16,F02,Group class,16,86,Access control
