member_id,household_id,join_date,home_facility_id,service_area,age_group,membership_type,acquisition_channel,marketing_consent,postal_fsa,engagement_score
M00001,H00001,2023-02-23,F03,North Valley,35-49,Adult annual,Referral,Yes,V1E,0.635
M00002,H00002,2024-02-14,F02,East Shore,18-34,Senior annual,Email,Yes,V1C,0.478
M00003,H00003,2024-03-31,F02,East Shore,50-64,Adult annual,Organic web,No,V1A,1.409
M00004,H00002,2025-01-26,F01,Central,35-49,Family annual,Walk-in,No,V1E,1.607
M00005,H00005,2024-05-13,F02,East Shore,50-64,Monthly flexible,Email,Yes,V1A,1.302
M00006,H00003,2023-08-27,F01,Central,50-64,Adult annual,Referral,No,V1C,1.048
M00007,H00004,2022-02-09,F01,Central,35-49,Family annual,Organic web,Yes,V1C,0.505
M00008,H00004,2022-01-29,F01,Central,Under 18,Adult annual,Community event,Yes,V1E,1.631
M00009,H00009,2024-04-30,F01,Central,50-64,Adult annual,Referral,Yes,V1B,1.261
M00010,H00010,2024-02-08,F03,North Valley,35-49,Monthly flexible,Referral,No,V1D,0.595
M00011,H00004,2022-07-24,F02,East Shore,35-49,Adult annual,Email,Yes,V1C,1.19
M00012,H00012,2024-08-30,F02,East Shore,18-34,Adult annual,Community event,Yes,V1B,0.577
M00013,H00005,2023-01-14,F01,Central,50-64,Senior annual,Organic web,Yes,V1A,0.842
M00014,H00014,2024-07-08,F02,East Shore,18-34,Adult annual,Email,Yes,V1A,1.313
M00015,H00015,2023-04-17,F01,Central,18-34,Monthly flexible,Paid social,Yes,V1A,1.276
M00016,H00016,2022-02-18,F02,East Shore,50-64,Adult annual,Email,No,V1A,0.902
M00017,H00017,2024-11-18,F02,East Shore,35-49,Adult annual,Organic web,Yes,V1B,0.546
M00018,H00018,2024-07-17,F03,North Valley,50-64,Adult annual,Organic web,Yes,V1D,0.898
M00019,H00019,2023-03-18,F04,West Valley,18-34,Youth annual,Organic web,No,V1B,1.208
M00020,H00020,2023-03-26,F01,Central,35-49,Monthly flexible,Organic web,No,V1B,1.361
M00021,H00021,2023-04-07,F03,North Valley,18-34,Family annual,Paid social,Yes,V1A,1.529
M00022,H00022,2023-06-29,F01,Central,35-49,Monthly flexible,Paid social,Yes,V1D,0.921
M00023,H00023,2022-09-06,F04,West Valley,50-64,Senior annual,Referral,Yes,V1B,1.263
M00024,H00008,2025-10-30,F01,Central,18-34,Adult annual,Walk-in,No,V1B,0.546
M00025,H00025,2025-05-04,F04,West Valley,18-34,Family annual,Organic web,Yes,V1C,1.685
M00026,H00026,2025-08-16,F02,East Shore,65+,Monthly flexible,Organic web,No,V1E,0.918
M00027,H00009,2025-04-21,F04,West Valley,35-49,Monthly flexible,Walk-in,Yes,V1E,0.962
M00028,H00028,2024-08-28,F01,Central,35-49,Family annual,Referral,Yes,V1A,0.616
M00029,H00029,2023-09-26,F01,Central,18-34,Youth annual,Community event,Yes,V1D,0.55
M00030,H00010,2022-08-10,F01,Central,35-49,Family annual,Referral,No,V1C,0.877
M00031,H00011,2023-03-26,F01,Central,18-34,Family annual,Walk-in,Yes,V1D,0.531
M00032,H00032,2022-04-01,F01,Central,50-64,Youth annual,Referral,Yes,V1E,1.463
M00033,H00011,2025-02-05,F02,East Shore,35-49,Adult annual,Organic web,Yes,V1C,0.877
M00034,H00034,2023-11-13,F01,Central,50-64,Senior annual,Paid social,Yes,V1E,0.771
M00035,H00035,2023-05-27,F01,Central,50-64,Family annual,Organic web,Yes,V1C,0.609
M00036,H00036,2025-02-05,F04,West Valley,50-64,Family annual,Referral,Yes,V1D,1.114
M00037,H00037,2024-02-06,F03,North Valley,18-34,Family annual,Paid social,Yes,V1B,1.524
M00038,H00038,2025-01-24,F03,North Valley,18-34,Adult annual,Paid social,No,V1B,0.783
M00039,H00039,2023-04-24,F04,West Valley,Under 18,Senior annual,Organic web,No,V1D,1.697
M00040,H00014,2025-10-21,F01,Central,35-49,Adult annual,Walk-in,No,V1C,0.898
M00041,H00041,2024-10-28,F03,North Valley,50-64,Senior annual,Referral,Yes,V1D,0.503
M00042,H00042,2024-05-01,F04,West Valley,35-49,Family annual,Email,Yes,V1E,1.6
M00043,H00043,2024-02-06,F01,Central,65+,Adult annual,Organic web,Yes,V1E,1.268
M00044,H00044,2024-11-22,F01,Central,50-64,Monthly flexible,Community event,No,V1B,1.586
M00045,H00045,2023-02-12,F04,West Valley,50-64,Senior annual,Organic web,No,V1C,1.114
M00046,H00046,2025-09-14,F01,Central,18-34,Family annual,Referral,No,V1E,1.523
M00047,H00016,2023-02-12,F01,Central,50-64,Adult annual,Paid social,Yes,V1E,1.263
M00048,H00048,2024-01-24,F04,West Valley,35-49,Family annual,Organic web,Yes,V1B,1.601
M00049,H00049,2023-10-31,F03,North Valley,18-34,Family annual,Paid social,Yes,V1A,1.46
M00050,H00025,2024-03-24,F04,West Valley,18-34,Monthly flexible,Organic web,Yes,V1D,0.696
M00051,H00051,2023-06-12,F04,West Valley,35-49,Monthly flexible,Organic web,No,V1A,0.865
M00052,H00052,2023-01-28,F01,Central,18-34,Adult annual,Walk-in,No,V1B,1.114
M00053,H00053,2024-10-14,F02,East Shore,18-34,Family annual,Walk-in,Yes,V1B,0.893
M00054,H00054,2023-02-06,F01,Central,35-49,Monthly flexible,Organic web,Yes,V1A,1.061
M00055,H00055,2023-10-20,F02,East Shore,35-49,Family annual,Community event,Yes,V1B,1.071
M00056,H00056,2023-05-08,F01,Central,18-34,Adult annual,Walk-in,Yes,V1E,0.77
M00057,H00057,2022-09-22,F02,East Shore,50-64,Adult annual,Community event,Yes,V1E,1.211
M00058,H00029,2023-11-25,F04,West Valley,50-64,Adult annual,Walk-in,Yes,V1B,0.672
M00059,H00059,2023-08-27,F01,Central,50-64,Youth annual,Paid social,No,V1E,1.112
M00060,H00030,2022-09-01,F01,Central,35-49,Youth annual,Walk-in,No,V1E,0.69
M00061,H00061,2023-04-23,F03,North Valley,18-34,Senior annual,Referral,Yes,V1A,1.451
M00062,H00062,2025-02-20,F04,West Valley,65+,Adult annual,Organic web,Yes,V1D,0.73
M00063,H00063,2024-09-05,F03,North Valley,18-34,Monthly flexible,Paid social,No,V1D,0.78
M00064,H00064,2023-04-11,F03,North Valley,65+,Senior annual,Paid social,Yes,V1D,1.26
M00065,H00065,2024-06-05,F04,West Valley,Under 18,Family annual,Organic web,Yes,V1C,0.648
M00066,H00066,2024-04-23,F02,East Shore,50-64,Monthly flexible,Organic web,Yes,V1C,1.32
M00067,H00034,2025-09-07,F04,West Valley,35-49,Adult annual,Organic web,Yes,V1C,1.414
M00068,H00068,2022-03-15,F01,Central,35-49,Monthly flexible,Organic web,Yes,V1B,1.555
M00069,H00035,2025-03-19,F02,East Shore,50-64,Senior annual,Referral,Yes,V1E,1.448
M00070,H00070,2024-01-28,F04,West Valley,50-64,Senior annual,Organic web,Yes,V1C,0.517
M00071,H00036,2024-02-07,F01,Central,35-49,Senior annual,Organic web,No,V1B,1.613
M00072,H00036,2024-06-03,F03,North Valley,50-64,Family annual,Email,Yes,V1B,0.915
M00073,H00073,2024-03-18,F03,North Valley,18-34,Family annual,Community event,No,V1C,1.43
M00074,H00074,2024-11-20,F04,West Valley,35-49,Adult annual,Community event,Yes,V1B,0.691
M00075,H00025,2025-08-28,F02,East Shore,50-64,Youth annual,Organic web,Yes,V1D,1.537
M00076,H00076,2025-04-27,F01,Central,50-64,Monthly flexible,Walk-in,Yes,V1A,1.138
M00077,H00039,2024-09-20,F01,Central,Under 18,Adult annual,Community event,Yes,V1D,0.82
M00078,H00078,2025-04-06,F01,Central,18-34,Adult annual,Organic web,Yes,V1E,0.979
M00079,H00040,2023-04-29,F02,East Shore,Under 18,Family annual,Community event,Yes,V1B,1.404
M00080,H00040,2025-09-11,F04,West Valley,35-49,Adult annual,Community event,No,V1E,1.099
M00081,H00081,2024-03-24,F02,East Shore,18-34,Monthly flexible,Organic web,Yes,V1E,1.365
M00082,H00082,2022-08-04,F01,Central,35-49,Youth annual,Organic web,No,V1C,1.11
M00083,H00042,2022-04-22,F02,East Shore,50-64,Adult annual,Email,Yes,V1D,1.353
M00084,H00084,2024-04-22,F04,West Valley,18-34,Adult annual,Walk-in,Yes,V1C,1.326
M00085,H00043,2025-03-24,F02,East Shore,35-49,Family annual,Organic web,Yes,V1E,0.927
M00086,H00086,2022-03-19,F01,Central,18-34,Monthly flexible,Paid social,Yes,V1E,0.707
M00087,H00087,2022-08-18,F02,East Shore,18-34,Monthly flexible,Email,Yes,V1A,0.74
M00088,H00030,2023-03-08,F01,Central,65+,Family annual,Email,Yes,V1A,0.571
M00089,H00089,2022-10-29,F01,Central,35-49,Senior annual,Paid social,Yes,V1B,1.323
M00090,H00030,2023-04-24,F02,East Shore,50-64,Adult annual,Walk-in,Yes,V1B,0.779
M00091,H00091,2024-07-15,F01,Central,35-49,Family annual,Community event,Yes,V1C,0.699
M00092,H00092,2024-11-09,F04,West Valley,35-49,Adult annual,Paid social,Yes,V1E,1.565
M00093,H00047,2024-02-03,F04,West Valley,Under 18,Family annual,Walk-in,Yes,V1D,0.994
M00094,H00094,2022-06-08,F01,Central,50-64,Monthly flexible,Paid social,Yes,V1B,0.529
M00095,H00032,2023-08-23,F02,East Shore,18-34,Adult annual,Email,No,V1B,0.983
M00096,H00096,2023-01-23,F01,Central,35-49,Adult annual,Walk-in,Yes,V1A,1.145
M00097,H00097,2024-03-11,F02,East Shore,Under 18,Adult annual,Walk-in,Yes,V1E,1.668
M00098,H00049,2024-05-21,F01,Central,50-64,Senior annual,Organic web,Yes,V1D,0.732
M00099,H00099,2022-04-01,F02,East Shore,50-64,Family annual,Referral,Yes,V1A,1.614
M00100,H00100,2024-01-29,F03,North Valley,35-49,Monthly flexible,Referral,Yes,V1E,0.557
M00101,H00101,2023-09-14,F01,Central,18-34,Family annual,Walk-in,Yes,V1A,1.501
M00102,H00102,2024-05-31,F02,East Shore,65+,Family annual,Walk-in,Yes,V1D,0.75
M00103,H00103,2024-09-07,F01,Central,35-49,Monthly flexible,Organic web,Yes,V1C,1.384
M00104,H00104,2023-03-25,F01,Central,35-49,Adult annual,Referral,No,V1C,1.015
M00105,H00105,2022-02-18,F04,West Valley,35-49,Adult annual,Walk-in,Yes,V1B,0.941
M00106,H00106,2023-08-13,F04,West Valley,35-49,Youth annual,Community event,Yes,V1C,1.049
M00107,H00036,2022-05-05,F03,North Valley,Under 18,Senior annual,Community event,Yes,V1A,0.566
M00108,H00054,2022-07-04,F02,East Shore,35-49,Adult annual,Referral,No,V1D,1.042
M00109,H00037,2022-05-27,F01,Central,18-34,Adult annual,Referral,No,V1A,1.262
M00110,H00110,2022-02-26,F04,West Valley,50-64,Youth annual,Walk-in,No,V1C,1.482
M00111,H00111,2024-03-21,F02,East Shore,35-49,Adult annual,Paid social,No,V1E,1.598
M00112,H00038,2024-02-12,F04,West Valley,18-34,Youth annual,Referral,Yes,V1B,0.494
M00113,H00057,2022-09-30,F03,North Valley,18-34,Family annual,Paid social,No,V1C,0.967
M00114,H00114,2023-01-22,F04,West Valley,65+,Senior annual,Referral,No,V1B,0.865
M00115,H00115,2025-08-18,F02,East Shore,35-49,Adult annual,Paid social,No,V1B,1.258
M00116,H00116,2024-06-22,F01,Central,35-49,Family annual,Referral,Yes,V1D,1.453
M00117,H00117,2023-03-05,F04,West Valley,50-64,Adult annual,Community event,Yes,V1A,1.264
M00118,H00059,2023-03-06,F01,Central,50-64,Adult annual,Organic web,Yes,V1A,1.451
M00119,H00040,2024-04-22,F03,North Valley,Under 18,Senior annual,Paid social,No,V1A,0.477
M00120,H00060,2023-02-02,F01,Central,50-64,Adult annual,Paid social,No,V1C,1.643
M00121,H00121,2025-11-19,F01,Central,50-64,Youth annual,Paid social,Yes,V1D,0.93
M00122,H00061,2025-07-28,F02,East Shore,65+,Senior annual,Walk-in,Yes,V1A,1.109
M00123,H00123,2022-09-02,F04,West Valley,35-49,Monthly flexible,Referral,No,V1C,1.328
M00124,H00124,2024-11-06,F01,Central,Under 18,Senior annual,Organic web,Yes,V1B,0.833
M00125,H00042,2022-08-08,F04,West Valley,50-64,Family annual,Walk-in,Yes,V1A,0.803
M00126,H00063,2025-07-27,F01,Central,18-34,Senior annual,Organic web,Yes,V1A,1.694
M00127,H00127,2023-05-04,F02,East Shore,35-49,Senior annual,Referral,Yes,V1D,0.83
M00128,H00128,2022-09-22,F01,Central,50-64,Adult annual,Referral,Yes,V1A,1.273
M00129,H00129,2023-05-06,F01,Central,50-64,Youth annual,Referral,No,V1D,0.72
M00130,H00130,2023-08-02,F01,Central,18-34,Monthly flexible,Organic web,Yes,V1B,0.953
M00131,H00066,2022-09-01,F02,East Shore,35-49,Adult annual,Paid social,Yes,V1A,0.723
M00132,H00132,2022-07-10,F02,East Shore,50-64,Family annual,Community event,Yes,V1A,1.564
M00133,H00133,2023-03-06,F04,West Valley,35-49,Senior annual,Walk-in,Yes,V1B,0.919
M00134,H00045,2024-08-03,F02,East Shore,35-49,Monthly flexible,Walk-in,No,V1D,1.012
M00135,H00068,2023-11-10,F01,Central,Under 18,Family annual,Paid social,Yes,V1D,1.422
M00136,H00136,2024-01-18,F01,Central,35-49,Monthly flexible,Referral,No,V1C,1.453
M00137,H00046,2023-01-06,F02,East Shore,50-64,Adult annual,Walk-in,Yes,V1D,0.966
M00138,H00069,2022-09-12,F01,Central,65+,Youth annual,Walk-in,Yes,V1D,0.802
