transaction_id,member_id,transaction_date,facility_id,revenue_type,gross_revenue,direct_cost,contribution_margin
T0000001,M00001,2023-02-23,F03,Membership,540,302.4,237.6
T0000002,M00001,2024-01-01,F03,Membership,540,302.4,237.6
T0000003,M00001,2025-01-01,F03,Membership,540,302.4,237.6
T0000004,M00002,2024-02-14,F02,Membership,390,249.6,140.4
T0000005,M00002,2025-01-01,F02,Membership,315,201.6,113.4
T0000006,M00003,2024-03-31,F02,Membership,490,274.4,215.6
T0000007,M00004,2025-01-26,F01,Membership,840,512.4,327.6
T0000008,M00005,2024-05-13,F02,Membership,430,253.7,176.3
T0000009,M00005,2025-01-01,F02,Membership,480,283.2,196.8
T0000010,M00006,2023-08-27,F01,Membership,540,302.4,237.6
T0000011,M00007,2022-02-09,F01,Membership,840,512.4,327.6
T0000012,M00008,2022-01-29,F01,Membership,490,274.4,215.6
T0000013,M00009,2024-04-30,F01,Membership,465,260.4,204.6
T0000014,M00009,2025-01-01,F01,Membership,540,302.4,237.6
T0000015,M00010,2024-02-08,F03,Membership,480,283.2,196.8
T0000016,M00011,2022-07-24,F02,Membership,515,288.4,226.6
T0000017,M00011,2023-01-01,F02,Membership,540,302.4,237.6
T0000018,M00011,2024-01-01,F02,Membership,515,288.4,226.6
T0000019,M00011,2025-01-01,F02,Membership,540,302.4,237.6
T0000020,M00012,2024-08-30,F02,Membership,540,302.4,237.6
T0000021,M00012,2025-01-01,F02,Membership,540,302.4,237.6
T0000022,M00013,2023-01-14,F01,Membership,390,249.6,140.4
T0000023,M00013,2024-01-01,F01,Membership,390,249.6,140.4
T0000024,M00013,2025-01-01,F01,Membership,390,249.6,140.4
T0000025,M00014,2024-07-08,F02,Membership,515,288.4,226.6
T0000026,M00014,2025-01-01,F02,Membership,515,288.4,226.6
T0000027,M00015,2023-04-17,F01,Membership,480,283.2,196.8
T0000028,M00016,2022-02-18,F02,Membership,540,302.4,237.6
T0000029,M00016,2023-01-01,F02,Membership,540,302.4,237.6
T0000030,M00016,2024-01-01,F02,Membership,540,302.4,237.6
T0000031,M00016,2025-01-01,F02,Membership,540,302.4,237.6
T0000032,M00017,2024-11-18,F02,Membership,515,288.4,226.6
T0000033,M00017,2025-01-01,F02,Membership,540,302.4,237.6
T0000034,M00018,2024-07-17,F03,Membership,540,302.4,237.6
T0000035,M00019,2023-03-18,F04,Membership,300,207,93
T0000036,M00019,2024-01-01,F04,Membership,300,207,93
T0000037,M00019,2025-01-01,F04,Membership,300,207,93
T0000038,M00020,2023-03-26,F01,Membership,480,283.2,196.8
T0000039,M00020,2024-01-01,F01,Membership,480,283.2,196.8
T0000040,M00021,2023-04-07,F03,Membership,840,512.4,327.6
T0000041,M00021,2024-01-01,F03,Membership,765,466.65,298.35
T0000042,M00022,2023-06-29,F01,Membership,480,283.2,196.8
T0000043,M00022,2024-01-01,F01,Membership,480,283.2,196.8
T0000044,M00022,2025-01-01,F01,Membership,480,283.2,196.8
T0000045,M00023,2022-09-06,F04,Membership,390,249.6,140.4
T0000046,M00023,2023-01-01,F04,Membership,390,249.6,140.4
T0000047,M00023,2024-01-01,F04,Membership,390,249.6,140.4
T0000048,M00024,2025-10-30,F01,Membership,515,288.4,226.6
T0000049,M00025,2025-05-04,F04,Membership,840,512.4,327.6
T0000050,M00026,2025-08-16,F02,Membership,455,268.45,186.55
T0000051,M00027,2025-04-21,F04,Membership,455,268.45,186.55
T0000052,M00028,2024-08-28,F01,Membership,840,512.4,327.6
T0000053,M00029,2023-09-26,F01,Membership,225,155.25,69.75
T0000054,M00030,2022-08-10,F01,Membership,840,512.4,327.6
T0000055,M00030,2023-01-01,F01,Membership,840,512.4,327.6
T0000056,M00030,2024-01-01,F01,Membership,840,512.4,327.6
T0000057,M00030,2025-01-01,F01,Membership,840,512.4,327.6
T0000058,M00031,2023-03-26,F01,Membership,840,512.4,327.6
T0000059,M00031,2024-01-01,F01,Membership,840,512.4,327.6
T0000060,M00032,2022-04-01,F01,Membership,300,207,93
T0000061,M00032,2023-01-01,F01,Membership,250,172.5,77.5
T0000062,M00032,2024-01-01,F01,Membership,300,207,93
T0000063,M00032,2025-01-01,F01,Membership,300,207,93
T0000064,M00033,2025-02-05,F02,Membership,515,288.4,226.6
T0000065,M00034,2023-11-13,F01,Membership,390,249.6,140.4
T0000066,M00034,2024-01-01,F01,Membership,340,217.6,122.4
T0000067,M00034,2025-01-01,F01,Membership,390,249.6,140.4
T0000068,M00035,2023-05-27,F01,Membership,790,481.9,308.1
T0000069,M00036,2025-02-05,F04,Membership,840,512.4,327.6
T0000070,M00037,2024-02-06,F03,Membership,840,512.4,327.6
T0000071,M00037,2025-01-01,F03,Membership,840,512.4,327.6
T0000072,M00038,2025-01-24,F03,Membership,540,302.4,237.6
T0000073,M00039,2023-04-24,F04,Membership,340,217.6,122.4
T0000074,M00039,2024-01-01,F04,Membership,390,249.6,140.4
T0000075,M00040,2025-10-21,F01,Membership,490,274.4,215.6
T0000076,M00041,2024-10-28,F03,Membership,390,249.6,140.4
T0000077,M00041,2025-01-01,F03,Membership,365,233.6,131.4
T0000078,M00042,2024-05-01,F04,Membership,840,512.4,327.6
T0000079,M00042,2025-01-01,F04,Membership,840,512.4,327.6
T0000080,M00043,2024-02-06,F01,Membership,515,288.4,226.6
T0000081,M00044,2024-11-22,F01,Membership,480,283.2,196.8
T0000082,M00044,2025-01-01,F01,Membership,480,283.2,196.8
T0000083,M00045,2023-02-12,F04,Membership,315,201.6,113.4
T0000084,M00046,2025-09-14,F01,Membership,840,512.4,327.6
T0000085,M00047,2023-02-12,F01,Membership,540,302.4,237.6
T0000086,M00047,2024-01-01,F01,Membership,540,302.4,237.6
T0000087,M00048,2024-01-24,F04,Membership,840,512.4,327.6
T0000088,M00048,2025-01-01,F04,Membership,840,512.4,327.6
T0000089,M00049,2023-10-31,F03,Membership,840,512.4,327.6
T0000090,M00050,2024-03-24,F04,Membership,480,283.2,196.8
T0000091,M00051,2023-06-12,F04,Membership,430,253.7,176.3
T0000092,M00051,2024-01-01,F04,Membership,480,283.2,196.8
T0000093,M00051,2025-01-01,F04,Membership,455,268.45,186.55
T0000094,M00052,2023-01-28,F01,Membership,540,302.4,237.6
T0000095,M00052,2024-01-01,F01,Membership,540,302.4,237.6
T0000096,M00052,2025-01-01,F01,Membership,540,302.4,237.6
T0000097,M00053,2024-10-14,F02,Membership,840,512.4,327.6
T0000098,M00053,2025-01-01,F02,Membership,840,512.4,327.6
T0000099,M00054,2023-02-06,F01,Membership,480,283.2,196.8
T0000100,M00055,2023-10-20,F02,Membership,840,512.4,327.6
T0000101,M00055,2024-01-01,F02,Membership,790,481.9,308.1
T0000102,M00055,2025-01-01,F02,Membership,815,497.15,317.85
T0000103,M00056,2023-05-08,F01,Membership,540,302.4,237.6
T0000104,M00057,2022-09-22,F02,Membership,540,302.4,237.6
T0000105,M00057,2023-01-01,F02,Membership,540,302.4,237.6
T0000106,M00058,2023-11-25,F04,Membership,540,302.4,237.6
T0000107,M00058,2024-01-01,F04,Membership,540,302.4,237.6
T0000108,M00058,2025-01-01,F04,Membership,540,302.4,237.6
T0000109,M00059,2023-08-27,F01,Membership,300,207,93
T0000110,M00059,2024-01-01,F01,Membership,250,172.5,77.5
T0000111,M00059,2025-01-01,F01,Membership,300,207,93
T0000112,M00060,2022-09-01,F01,Membership,300,207,93
T0000113,M00060,2023-01-01,F01,Membership,300,207,93
T0000114,M00061,2023-04-23,F03,Membership,365,233.6,131.4
T0000115,M00062,2025-02-20,F04,Membership,490,274.4,215.6
T0000116,M00063,2024-09-05,F03,Membership,430,253.7,176.3
T0000117,M00064,2023-04-11,F03,Membership,390,249.6,140.4
T0000118,M00064,2024-01-01,F03,Membership,390,249.6,140.4
T0000119,M00064,2025-01-01,F03,Membership,340,217.6,122.4
T0000120,M00065,2024-06-05,F04,Membership,790,481.9,308.1
T0000121,M00065,2025-01-01,F04,Membership,840,512.4,327.6
T0000122,M00066,2024-04-23,F02,Membership,480,283.2,196.8
T0000123,M00066,2025-01-01,F02,Membership,430,253.7,176.3
T0000124,M00067,2025-09-07,F04,Membership,540,302.4,237.6
T0000125,M00068,2022-03-15,F01,Membership,480,283.2,196.8
T0000126,M00069,2025-03-19,F02,Membership,315,201.6,113.4
T0000127,M00070,2024-01-28,F04,Membership,390,249.6,140.4
T0000128,M00071,2024-02-07,F01,Membership,390,249.6,140.4
T0000129,M00071,2025-01-01,F01,Membership,340,217.6,122.4
T0000130,M00072,2024-06-03,F03,Membership,840,512.4,327.6
T0000131,M00072,2025-01-01,F03,Membership,840,512.4,327.6
T0000132,M00073,2024-03-18,F03,Membership,765,466.65,298.35
T0000133,M00073,2025-01-01,F03,Membership,840,512.4,327.6
