month,facility_id,visits
2022-01,F01,30
2022-01,F02,14
2022-01,F03,11
2022-01,F04,8
2022-02,F01,61
2022-02,F02,33
2022-02,F03,17
2022-02,F04,23
2022-03,F01,88
2022-03,F02,59
2022-03,F03,36
2022-03,F04,47
2022-04,F01,115
2022-04,F02,73
2022-04,F03,32
2022-04,F04,41
2022-05,F01,127
2022-05,F02,69
2022-05,F03,80
2022-05,F04,65
2022-06,F01,134
2022-06,F02,77
2022-06,F03,62
2022-06,F04,77
2022-07,F01,165
2022-07,F02,73
2022-07,F03,56
2022-07,F04,66
2022-08,F01,183
2022-08,F02,126
2022-08,F03,75
2022-08,F04,73
2022-09,F01,236
2022-09,F02,164
2022-09,F03,107
2022-09,F04,105
2022-10,F01,302
2022-10,F02,206
2022-10,F03,133
2022-10,F04,131
2022-11,F01,306
2022-11,F02,221
2022-11,F03,145
2022-11,F04,137
2022-12,F01,264
2022-12,F02,185
2022-12,F03,110
2022-12,F04,130
2023-01,F01,218
2023-01,F02,160
2023-01,F03,103
2023-01,F04,136
2023-02,F01,293
2023-02,F02,217
2023-02,F03,136
2023-02,F04,149
2023-03,F01,362
2023-03,F02,240
2023-03,F03,134
2023-03,F04,204
2023-04,F01,340
2023-04,F02,237
2023-04,F03,168
2023-04,F04,199
2023-05,F01,376
2023-05,F02,238
2023-05,F03,194
2023-05,F04,257
2023-06,F01,372
2023-06,F02,248
2023-06,F03,166
2023-06,F04,221
2023-07,F01,306
2023-07,F02,234
2023-07,F03,165
2023-07,F04,211
2023-08,F01,388
2023-08,F02,232
2023-08,F03,146
2023-08,F04,222
2023-09,F01,448
2023-09,F02,311
2023-09,F03,241
2023-09,F04,313
2023-10,F01,577
2023-10,F02,373
2023-10,F03,290
2023-10,F04,346
2023-11,F01,600
2023-11,F02,418
2023-11,F03,301
2023-11,F04,407
2023-12,F01,473
2023-12,F02,331
2023-12,F03,235
2023-12,F04,308
2024-01,F01,416
2024-01,F02,256
2024-01,F03,196
2024-01,F04,266
2024-02,F01,537
2024-02,F02,396
2024-02,F03,277
2024-02,F04,301
2024-03,F01,574
2024-03,F02,420
2024-03,F03,281
2024-03,F04,334
2024-04,F01,551
2024-04,F02,416
2024-04,F03,247
2024-04,F04,334
2024-05,F01,548
2024-05,F02,414
2024-05,F03,284
2024-05,F04,363
2024-06,F01,565
2024-06,F02,369
2024-06,F03,228
2024-06,F04,336
2024-07,F01,484
2024-07,F02,388
2024-07,F03,234
2024-07,F04,330
2024-08,F01,490
2024-08,F02,407
2024-08,F03,243
2024-08,F04,371
2024-09,F01,635
2024-09,F02,572
2024-09,F03,301
2024-09,F04,473
2024-10,F01,813
2024-10,F02,576
2024-10,F03,390
2024-10,F04,581
2024-11,F01,907
2024-11,F02,613
2024-11,F03,399
2024-11,F04,581
2024-12,F01,695
2024-12,F02,478
2024-12,F03,331
2024-12,F04,444
2025-01,F01,581
2025-01,F02,450
2025-01,F03,253
2025-01,F04,380
2025-02,F01,756
2025-02,F02,508
2025-02,F03,325
2025-02,F04,440
2025-03,F01,803
2025-03,F02,550
2025-03,F03,335
2025-03,F04,451
2025-04,F01,713
2025-04,F02,593
2025-04,F03,316
2025-04,F04,451
2025-05,F01,704
2025-05,F02,514
2025-05,F03,330
2025-05,F04,418
2025-06,F01,704
2025-06,F02,512
2025-06,F03,305
2025-06,F04,437
2025-07,F01,527
2025-07,F02,429
2025-07,F03,252
2025-07,F04,345
2025-08,F01,614
2025-08,F02,470
2025-08,F03,290
2025-08,F04,419
2025-09,F01,779
2025-09,F02,579
2025-09,F03,360
2025-09,F04,543
2025-10,F01,895
2025-10,F02,657
2025-10,F03,412
2025-10,F04,580
2025-11,F01,948
2025-11,F02,708
2025-11,F03,405
2025-11,F04,598
2025-12,F01,701
2025-12,F02,596
2025-12,F03,335
2025-12,F04,496
